nodes, GUROBI, MOSEK, IPOPT, COSMO, SPOCK
11, 3.571792707, 6.042007012, 2.885245512, 23.553508337, 0.937292
40, 2.362866087, 5.094025953, 0.971000978, 22.698482229, 0.404527
13, 2.056371499, 4.280094387, 0.569748069, 22.166468721, 0.597368
31, 2.514337964, 5.359724567, 1.733151448, 28.132393628, 0.812771
56, 2.190999117, 4.528775314, 1.097018006, 22.355344603, 1.47266
11, 3.391861173, 6.247038268, 4.019171785, 23.866408356, 0.888339
23, 2.191049264, 4.144115733, 0.434275807, 20.393258912, 1.34474
69, 2.22852983, 4.248657047, 0.811765423, 21.500186306, 0.25463
27, 2.216959251, 4.160024249, 0.453241473, 21.525430449, 2.12766
13, 1.855399669, 4.037876449, 0.253740898, 20.044167782, 0.353336
79, 2.297684951, 4.334154742, 0.757457298, 22.671495427, 2.4368
11, 1.862129864, 4.077070346, 0.273211935, 19.571937142, 0.403252
17, 2.24529589, 4.66613068, 0.966156961, 22.997396531, 0.993576
33, 2.399212477, 5.051201927, 1.042184661, 21.881088028, 0.813222
27, 1.961767587, 3.725627587, 0.409339764, 18.685586379, 0.389373
25, 2.229454954, 4.452446636, 1.630542329, 20.8586151, 1.63798
45, 1.945619357, 3.88994757, 0.500684145, 19.59037146, 1.20407
28, 1.977635653, 4.510019672, 0.757800455, 19.113505941, 1.02558
23, 1.968709591, 3.823930234, 0.411050903, 18.60308987, 1.36086
31, 2.367173184, 4.915775774, 2.754436648, 26.664663002, 0.672712
91, 1.923645913, 3.870090595, 0.540074654, 0.0, 1.21227
49, 1.942856231, 4.197750731, 1.084501227, 20.01434531, 0.704223
51, 2.00642004, 4.09532407, 1.484907001, 20.93878128, 0.570959
40, 1.989354586, 3.881783453, 0.56684608, 19.181354347, 0.243779
57, 1.927807354, 3.766905501, 0.450814515, 20.530709042, 1.81991
21, 2.278466247, 4.911350548, 0.754339595, 20.510828157, 1.32102
49, 2.320048294, 4.511058998, 1.044420081, 24.277683863, 0.77028
47, 2.251878626, 4.249774542, 0.655297222, 21.555721779, 1.08312
43, 2.232070596, 4.299936883, 0.735285692, 25.020701625, 0.482585
25, 2.151574946, 5.051409239, 0.77669117, 22.441990646, 1.62635
13, 2.506861422, 5.57740267, 1.665091607, 30.627472362, 0.860591
16, 2.995811365, 5.78016585, 2.212668879, 23.790865175, 0.971422
31, 2.41177198, 5.165629394, 1.642593568, 24.550141462, 0.606208
87, 2.369180428, 4.374439298, 0.918123242, 22.139947321, 0.831462
43, 2.128970997, 4.423051389, 0.973430064, 21.705948415, 0.679607
57, 2.15447101, 4.802032703, 1.063359618, 21.774813171, 3.85251
19, 2.111312197, 4.024588855, 0.322067711, 19.867276131, 0.593908
39, 2.280839674, 5.388809892, 1.659855771, 22.052750439, 0.401138
15, 2.199873968, 4.641167472, 0.951452257, 23.326204391, 0.837381
49, 2.394152258, 4.277695103, 0.697054261, 21.148077225, 0.487992
33, 2.245973313, 4.972625087, 1.156927356, 21.579226392, 0.872781
31, 2.206072777, 4.339749663, 0.787541523, 20.898492783, 0.488889
47, 2.146997335, 4.400931245, 0.87067505, 21.589406058, 0.447114
61, 2.134139404, 4.529618149, 1.392030658, 22.409545244, 0.928144
31, 2.312351855, 5.061347097, 1.081294304, 23.298441869, 0.649087
25, 2.265711249, 4.914425803, 1.71648543, 19.558707872, 0.683055
19, 1.707288201, 3.676724981, 0.219247375, 18.096257107, 0.343862
15, 2.650695541, 5.289548531, 1.637208843, 20.947008837, 1.00513
35, 2.088878834, 4.710969579, 1.126506675, 19.776696232, 1.1474
78, 1.94631322, 4.133437923, 0.930090575, 0.0, 1.27609
11, 2.934042291, 0.0, 3.48379658, 22.322100237, 0.989288
59, 2.056874677, 4.295187923, 0.937062953, 24.275930761, 2.15089
15, 2.058313057, 4.391690504, 0.551617168, 20.539283888, 0.660601
17, 2.567854143, 44.888903923, 2.281183059, 22.571931428, 1.20618
23, 1.855874849, 4.208918489, 0.435488436, 20.36686414, 0.889813
73, 2.320871916, 4.460458191, 1.230515356, 21.983245681, 2.06125
